;;;(oC);(%);(m/s);(oC);;(%);;(m/s);;(oC);;(%);;(mm);(MJ/m2.d);;;;
ANO;MES;DIA;TMED;URMED;VentoMED;TMAX;TMAX_hora;URMAX;URMAX_hora;VentoMAX;VentoMAX_hora;TMIN;TMIN_hora;URMIN;URMIN_hora;Chuva;Rad.Glob.;Estiagem;Semestre;ElNino;Estacao
1902;11;29;;;;;;;;;;;;;;0;;5;2;;Primavera
1902;11;30;;;;;;;;;;;;;;0;;5;2;;Primavera
1902;12;1;;;;;;;;;;;;;;0;;5;2;;Primavera
1902;12;2;;;;;;;;;;;;;;0;;5;2;;Primavera
1902;12;3;;;;;;;;;;;;;;1;;0;2;;Primavera
1902;12;4;;;;;;;;;;;;;;18,2;;0;2;;Primavera
1902;12;5;;;;;;;;;;;;;;29,2;;0;2;;Primavera
1902;12;6;;;;;;;;;;;;;;9;;0;2;;Primavera
1902;12;7;;;;;;;;;;;;;;13,6;;0;2;;Primavera
1902;12;8;;;;;;;;;;;;;;16,4;;0;2;;Primavera
1902;12;9;;;;;;;;;;;;;;0;;2;2;;Primavera
1902;12;10;;;;;;;;;;;;;;0;;2;2;;Primavera
1902;12;11;;;;;;;;;;;;;;57;;0;2;;Primavera
1902;12;12;;;;;;;;;;;;;;0;;3;2;;Primavera
1902;12;13;;;;;;;;;;;;;;0;;3;2;;Primavera
1902;12;14;;;;;;;;;;;;;;0;;3;2;;Primavera
1902;12;15;;;;;;;;;;;;;;7,6;;0;2;;Primavera
1902;12;16;;;;;;;;;;;;;;5,1;;0;2;;Primavera
1902;12;17;;;;;;;;;;;;;;6;;0;2;;Primavera
1902;12;18;;;;;;;;;;;;;;0;;3;2;;Primavera
1902;12;19;;;;;;;;;;;;;;0;;3;2;;Primavera
1902;12;20;;;;;;;;;;;;;;0;;3;2;;Primavera
1902;12;21;;;;;;;;;;;;;;20,4;;0;2;;Primavera
1902;12;22;;;;;;;;;;;;;;0;;7;2;;Verão
1902;12;23;;;;;;;;;;;;;;0;;7;2;;Verão
1902;12;24;;;;;;;;;;;;;;0;;7;2;;Verão
1902;12;25;;;;;;;;;;;;;;0;;7;2;;Verão
1902;12;26;;;;;;;;;;;;;;0;;7;2;;Verão
1902;12;27;;;;;;;;;;;;;;0;;7;2;;Verão
1902;12;28;;;;;;;;;;;;;;0;;7;2;;Verão
1902;12;29;;;;;;;;;;;;;;18;;0;2;;Verão
1902;12;30;;;;;;;;;;;;;;0,6;;0;2;;Verão
1902;12;31;;;;;;;;;;;;;;0;;11;2;;Verão
1903;1;1;;;;;;;;;;;;;;0;;11;1;;Verão
1903;1;2;;;;;;;;;;;;;;0;;11;1;;Verão
1903;1;3;;;;;;;;;;;;;;0;;11;1;;Verão
1903;1;4;;;;;;;;;;;;;;0;;11;1;;Verão
1903;1;5;;;;;;;;;;;;;;0;;11;1;;Verão
1903;1;6;;;;;;;;;;;;;;0;;11;1;;Verão
1903;1;7;;;;;;;;;;;;;;0;;11;1;;Verão
1903;1;8;;;;;;;;;;;;;;0;;11;1;;Verão
1903;1;9;;;;;;;;;;;;;;0;;11;1;;Verão
1903;1;10;;;;;;;;;;;;;;0;;11;1;;Verão
1903;1;11;;;;;;;;;;;;;;2;;0;1;;Verão
1903;1;12;;;;;;;;;;;;;;0;;5;1;;Verão
1903;1;13;;;;;;;;;;;;;;0;;5;1;;Verão
1903;1;14;;;;;;;;;;;;;;0;;5;1;;Verão
1903;1;15;;;;;;;;;;;;;;0;;5;1;;Verão
1903;1;16;;;;;;;;;;;;;;0;;5;1;;Verão
1903;1;17;;;;;;;;;;;;;;2;;0;1;;Verão
1903;1;18;;;;;;;;;;;;;;3,9;;0;1;;Verão
1903;1;19;;;;;;;;;;;;;;4;;0;1;;Verão
1903;1;20;;;;;;;;;;;;;;2,9;;0;1;;Verão
1903;1;21;;;;;;;;;;;;;;0;;8;1;;Verão
1903;1;22;;;;;;;;;;;;;;0;;8;1;;Verão
1903;1;23;;;;;;;;;;;;;;0;;8;1;;Verão
1903;1;24;;;;;;;;;;;;;;0;;8;1;;Verão
1903;1;25;;;;;;;;;;;;;;0;;8;1;;Verão
1903;1;26;;;;;;;;;;;;;;0;;8;1;;Verão
1903;1;27;;;;;;;;;;;;;;0;;8;1;;Verão
1903;1;28;;;;;;;;;;;;;;0;;8;1;;Verão
1903;1;29;;;;;;;;;;;;;;4,8;;0;1;;Verão
1903;1;30;;;;;;;;;;;;;;0;;1;1;;Verão
1903;1;31;;;;;;;;;;;;;;3;;0;1;;Verão
1903;2;1;;;;;;;;;;;;;;0,2;;0;1;;Verão
1903;2;2;;;;;;;;;;;;;;0;;1;1;;Verão
1903;2;3;;;;;;;;;;;;;;1,6;;0;1;;Verão
1903;2;4;;;;;;;;;;;;;;9,6;;0;1;;Verão
1903;2;5;;;;;;;;;;;;;;2,9;;0;1;;Verão
1903;2;6;;;;;;;;;;;;;;14;;0;1;;Verão
1903;2;7;;;;;;;;;;;;;;0;;1;1;;Verão
1903;2;8;;;;;;;;;;;;;;3,2;;0;1;;Verão
1903;2;9;;;;;;;;;;;;;;0;;1;1;;Verão
1903;2;10;;;;;;;;;;;;;;3;;0;1;;Verão
1903;2;11;;;;;;;;;;;;;;17;;0;1;;Verão
1903;2;12;;;;;;;;;;;;;;0;;2;1;;Verão
1903;2;13;;;;;;;;;;;;;;0;;2;1;;Verão
1903;2;14;;;;;;;;;;;;;;6;;0;1;;Verão
1903;2;15;;;;;;;;;;;;;;0;;5;1;;Verão
1903;2;16;;;;;;;;;;;;;;0;;5;1;;Verão
1903;2;17;;;;;;;;;;;;;;0;;5;1;;Verão
1903;2;18;;;;;;;;;;;;;;0;;5;1;;Verão
1903;2;19;;;;;;;;;;;;;;0;;5;1;;Verão
1903;2;20;;;;;;;;;;;;;;10;;0;1;;Verão
1903;2;21;;;;;;;;;;;;;;0;;1;1;;Verão
1903;2;22;;;;;;;;;;;;;;2,4;;0;1;;Verão
1903;2;23;;;;;;;;;;;;;;11,8;;0;1;;Verão
1903;2;24;;;;;;;;;;;;;;0;;1;1;;Verão
1903;2;25;;;;;;;;;;;;;;30;;0;1;;Verão
1903;2;26;;;;;;;;;;;;;;17;;0;1;;Verão
1903;2;27;;;;;;;;;;;;;;0;;4;1;;Verão
1903;2;28;;;;;;;;;;;;;;0;;4;1;;Verão
1903;3;1;;;;;;;;;;;;;;0;;4;1;;Verão
1903;3;2;;;;;;;;;;;;;;0;;4;1;;Verão
1903;3;3;;;;;;;;;;;;;;59;;0;1;;Verão
1903;3;4;;;;;;;;;;;;;;0,2;;0;1;;Verão
1903;3;5;;;;;;;;;;;;;;0;;3;1;;Verão
1903;3;6;;;;;;;;;;;;;;0;;3;1;;Verão
1903;3;7;;;;;;;;;;;;;;0;;3;1;;Verão
1903;3;8;;;;;;;;;;;;;;3;;0;1;;Verão
1903;3;9;;;;;;;;;;;;;;18;;0;1;;Verão
1903;3;10;;;;;;;;;;;;;;0,2;;0;1;;Verão
1903;3;11;;;;;;;;;;;;;;18;;0;1;;Verão
1903;3;12;;;;;;;;;;;;;;1,6;;0;1;;Verão
1903;3;13;;;;;;;;;;;;;;0;;2;1;;Verão
1903;3;14;;;;;;;;;;;;;;0;;2;1;;Verão
1903;3;15;;;;;;;;;;;;;;22,2;;0;1;;Verão
1903;3;16;;;;;;;;;;;;;;0,4;;0;1;;Verão
1903;3;17;;;;;;;;;;;;;;0;;2;1;;Verão
1903;3;18;;;;;;;;;;;;;;0;;2;1;;Verão
1903;3;19;;;;;;;;;;;;;;56,2;;0;1;;Verão
1903;3;20;;;;;;;;;;;;;;0;;7;1;;Verão
1903;3;21;;;;;;;;;;;;;;0;;7;1;;Outono
1903;3;22;;;;;;;;;;;;;;0;;7;1;;Outono
1903;3;23;;;;;;;;;;;;;;0;;7;1;;Outono
1903;3;24;;;;;;;;;;;;;;0;;7;1;;Outono
1903;3;25;;;;;;;;;;;;;;0;;7;1;;Outono
1903;3;26;;;;;;;;;;;;;;0;;7;1;;Outono
1903;3;27;;;;;;;;;;;;;;3,8;;0;1;;Outono
1903;3;28;;;;;;;;;;;;;;0;;4;1;;Outono
1903;3;29;;;;;;;;;;;;;;0;;4;1;;Outono
1903;3;30;;;;;;;;;;;;;;0;;4;1;;Outono
1903;3;31;;;;;;;;;;;;;;0;;4;1;;Outono
1903;4;1;;;;;;;;;;;;;;13,4;;0;1;;Outono
1903;4;2;;;;;;;;;;;;;;0;;6;1;;Outono
1903;4;3;;;;;;;;;;;;;;0;;6;1;;Outono
1903;4;4;;;;;;;;;;;;;;0;;6;1;;Outono
1903;4;5;;;;;;;;;;;;;;0;;6;1;;Outono
1903;4;6;;;;;;;;;;;;;;0;;6;1;;Outono
1903;4;7;;;;;;;;;;;;;;0;;6;1;;Outono
1903;4;8;;;;;;;;;;;;;;6;;0;1;;Outono
1903;4;9;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;10;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;11;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;12;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;13;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;14;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;15;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;16;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;17;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;18;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;19;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;20;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;21;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;22;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;23;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;24;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;25;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;26;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;27;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;28;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;29;;;;;;;;;;;;;;0;;33;1;;Outono
1903;4;30;;;;;;;;;;;;;;0;;33;1;;Outono
1903;5;1;;;;;;;;;;;;;;0;;33;1;;Outono
1903;5;2;;;;;;;;;;;;;;0;;33;1;;Outono
1903;5;3;;;;;;;;;;;;;;0;;33;1;;Outono
1903;5;4;;;;;;;;;;;;;;0;;33;1;;Outono
1903;5;5;;;;;;;;;;;;;;0;;33;1;;Outono
1903;5;6;;;;;;;;;;;;;;0;;33;1;;Outono
1903;5;7;;;;;;;;;;;;;;0;;33;1;;Outono
1903;5;8;;;;;;;;;;;;;;0;;33;1;;Outono
1903;5;9;;;;;;;;;;;;;;0;;33;1;;Outono
1903;5;10;;;;;;;;;;;;;;0;;33;1;;Outono
1903;5;11;;;;;;;;;;;;;;0;;33;1;;Outono
1903;5;12;;;;;;;;;;;;;;24;;0;1;;Outono
1903;5;13;;;;;;;;;;;;;;0;;6;1;;Outono
1903;5;14;;;;;;;;;;;;;;0;;6;1;;Outono
1903;5;15;;;;;;;;;;;;;;0;;6;1;;Outono
1903;5;16;;;;;;;;;;;;;;0;;6;1;;Outono
1903;5;17;;;;;;;;;;;;;;0;;6;1;;Outono
1903;5;18;;;;;;;;;;;;;;0;;6;1;;Outono
1903;5;19;;;;;;;;;;;;;;7,8;;0;1;;Outono
1903;5;20;;;;;;;;;;;;;;0;;2;1;;Outono
1903;5;21;;;;;;;;;;;;;;0;;2;1;;Outono
1903;5;22;;;;;;;;;;;;;;8,8;;0;1;;Outono
