date,plot,species,si.offset.e,si.offset.n,tree.easting,tree.northing,sensor.est.e,sensor.est.n,dbh,height,cbh,rad.in,rad.out,distance,bearing,east.center,north.center,tag
2013-09-20,PLT0042,acerru,473.7120056,102.5770035,732066.612,4713324.477,732064.3033,4713321.522,27.5,21.3,11.8,0.31,7.76,3.75,38,-2.308730532,-2.955040326,240551
2013-09-20,PLT0042,acerru,473.4020081,102.2060013,732066.302,4713324.106,732063.7961,4713322.148,29.4,29.5,13.5,6.8,1.06,3.18,52,-2.505874196,-1.957803492,240548
2013-09-20,PLT0042,acerru,473.7980042,102.2939987,732066.698,4713324.194,732063.8341,4713322.113,25.1,18.1,9.5,0.27,3,3.54,54,-2.86392016,-2.080759793,240553
2013-09-20,PLT0042,acerru,473.5849915,102.1419983,732066.485,4713324.042,732063.6016,4713322.24,22.3,19.6,5.3,2.51,3.12,3.4,58,-2.883363527,-1.801725498,240554
2013-09-20,PLT0042,querru,478.8420105,99.2983017,732071.742,4713321.198,732065.0181,4713322.143,35.3,22.5,18.9,0,0,6.79,98,-6.723920187,0.944985356,240450
2013-09-20,PLT0042,querru,478.5899963,99.6595993,732071.49,4713321.56,732063.8971,4713322.898,17.5,12.7,4.99,0.63,5.69,7.71,100,-7.592867776,1.33882745,240448
2013-09-20,PLT0042,querru,NA,NA,731592.9,4713221.9,731586.7383,4713223.667,38.1,24.9,13.5,4.31,6.03,6.41,106,-6.161687471,1.766835451,240446
2013-09-20,PLT0042,querru,477.947998,98.56819916,732070.848,4713320.468,732065.1669,4713322.097,29.8,23.7,13.5,8.44,0.48,5.91,106,-5.681056623,1.629016773,240447
2013-09-20,PLT0042,acerru,472.2059937,93.93659973,732065.106,4713315.837,732063.7338,4713322.292,21.9,17.1,7,1.44,4.3,6.6,168,-1.372217159,6.455774165,240438
2013-09-20,PLT0042,acerru,472.178009,93.63729858,732065.078,4713315.537,732063.7723,4713321.68,28,21.2,13.5,2.64,2.1,6.28,168,-1.305685418,6.142766933,240437
2013-09-20,PLT0042,betual,468.8259888,97.62039948,732061.726,4713319.52,732061.726,4713319.52,13.6,1.3,1.3,NA,NA,NA,NA,NA,NA,240431
2013-09-20,PLT0012,querru,450.9970093,82.35870361,732043.897,4713304.259,732045.592,4713301.323,49.9,24.4,11.2,2.21,4.73,3.39,330,1.695,-2.935826119,230331
2013-09-20,PLT0012,fraxam,455.2260132,85.40679932,732048.126,4713307.307,732046.8103,4713303.003,19.7,17.7,14.4,1.56,1.88,4.5,17,-1.315672671,-4.303371402,230340
2013-09-20,PLT0012,querru,455.178009,77.94110107,732048.078,4713299.841,732046.138,4713303.201,51.9,30.9,15.6,4.73,4.16,3.88,150,-1.94,3.360178567,230209
2013-09-20,PLT0012,acerru,454.8609924,79.54779816,732047.761,4713301.448,732046.711,4713303.266,9,13.8,4.9,1.28,1.7,2.1,150,-1.05,1.818653348,230207
2013-09-20,PLT0049,acerru,440.0889893,49.39419937,732032.989,4713271.294,732036.0859,4713272.673,20.9,19.6,13,2.53,3.01,3.39,246,3.096919101,1.37883722,230109
2013-09-20,PLT0049,piceab,439.6679993,49.23899841,732032.568,4713271.139,732035.841,4713272.461,12.5,11.7,10,1.22,1.18,3.53,248,3.272959007,1.322361275,220170
2013-09-20,PLT0049,querru,438.1390076,50.85649872,732031.039,4713272.756,732036.0897,4713272.315,27.5,16.1,14.3,2.47,1.06,5.07,275,5.050707119,-0.441879616,220159
2013-09-20,PLT0049,piceab,440.6629944,50.5481987,732033.563,4713272.448,732033.563,4713272.448,12.1,1.3,1.3,NA,NA,NA,NA,NA,NA,230144
2013-09-20,PLT0049,acerru,442.6109924,57.17760086,732035.511,4713279.078,732035.7427,4713272.442,25.5,23.7,13.3,2.84,0.75,6.64,358,0.231732658,-6.635955091,230125
2013-09-20,PLT0049,querru,447.6740112,51.63729858,732040.574,4713273.537,732036.3185,4713272.236,28,19.8,10,1.3,0.34,4.45,73,-4.255556164,-1.301054086,230142
2013-09-20,PLT0049,querru,447.6650085,51.37129974,732040.565,4713273.271,732036.2377,4713272.112,35.1,25.6,16.4,1.48,2.11,4.48,75,-4.327347702,-1.159509322,230141
2013-09-20,PLT0049,querru,446.2940063,47.9253006,732039.194,4713269.825,732036.5751,4713272.537,25,22.3,11.2,4.66,1.19,3.77,136,-2.618862057,2.711911047,230112
2013-09-20,PLT0049,querru,447.3619995,45.12860107,732040.262,4713267.029,732036.3413,4713271.87,29.6,25.5,12,1.27,2.42,6.23,141,-3.920666036,4.84161934,230117
2013-09-20,PLT0049,quervu,445.1789856,45.91699982,732038.079,4713267.817,732036.4133,4713272.393,29.4,22.6,11.6,3.45,1.44,4.87,160,-1.665638098,4.576303063,230111
2013-09-20,PLT0049,querru,443.269989,40.11619949,732036.17,4713262.016,732035.4201,4713272.74,41.6,28.5,16.1,5.02,4.69,10.75,176,-0.749882093,10.72381354,230121
